,IsWinner,ProductId,TimeOfOfferChange,ConditionNotes,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
1,1,-4885255916155087854,2016-02-04T04:26:52.136Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,107.35,95,4078,-1789487307643024748,0.0,48,72,CA,ON
2,0,-4885255916155087854,2016-02-04T04:26:52.136Z,.,1,0,100.46,98,478,5452082314297826053,6.99,24,48,CA,ON
3,0,-4885255916155087854,2016-02-04T04:26:52.136Z,Fast shipping in Canada.,1,0,99.24,95,4384,-2572277640783537773,11.67,24,48,CA,ON
4,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,0,0,109.48,94,105,-8704029307873847986,8.99,24,48,CA,ON
5,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,0,0,116.7,67,9,1929046423112965216,6.98,24,48,CA,AB
6,0,-4885255916155087854,2016-02-04T04:26:52.136Z,*Free shipping from Canada / Livraison GRATUITE depuis Canada*,1,0,124.69,100,4601,5657218934756058127,0.0,24,48,CA,ON
7,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,1,0,120.08,96,1790,1788801474825896666,9.98,96,120,US,NY
9,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,1,0,121.27,96,1790,1788801474825896666,9.98,96,120,US,NY
10,0,-4885255916155087854,2016-02-04T04:26:52.136Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,133.12,96,35264,6791568714796518563,0.0,96,120,CA,QC
11,0,-4885255916155087854,2016-02-04T04:26:52.136Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,123.77,96,7090,-373508113925093038,12.95,24,48,CA,ON
12,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,1,0,139.58,94,178,-8070122054366980138,0.0,24,48,US,NV
14,0,-4885255916155087854,2016-02-04T04:26:52.136Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,1,0,131.25,94,337,2760162070632027753,14.99,24,48,CA,QC
20,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,0,0,78.64,98,3293,4143506568603310959,10.99,24,48,US,NY
21,1,-6219878023547990916,2016-02-04T04:27:21.627Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,89.64,96,35264,6791568714796518563,0.0,96,120,CA,QC
23,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,81.49,96,1790,1788801474825896666,9.98,96,120,US,NY
24,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,82.56,96,1790,1788801474825896666,9.98,96,120,US,NY
25,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,74.07,93,2521,-5016003493506265192,21.69,24,48,US,VA
26,0,-6219878023547990916,2016-02-04T04:27:21.627Z,"GST/HST Only, No PST. Part Number: S524-01M",1,0,85.75,95,4384,-2572277640783537773,11.31,24,48,CA,ON
32,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,99.16,97,4513,622743086816758000,23.38,144,240,US,NJ
33,0,-6219878023547990916,2016-02-04T04:27:21.627Z,Duty free - Ships from USA,1,0,138.9,98,1446,1163115142515862290,0.0,24,48,US,CA
38,0,-2406396100216511638,2016-02-04T04:29:07.495Z,nan,1,0,57.07,96,1790,1788801474825896666,9.98,96,120,US,NY
39,0,-2406396100216511638,2016-02-04T04:29:07.495Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,67.72,96,35264,6791568714796518563,0.0,96,120,CA,QC
40,0,-2406396100216511638,2016-02-04T04:29:07.495Z,nan,1,0,52.22,93,2521,-5016003493506265192,21.94,24,48,US,VA
49,0,-2406396100216511638,2016-02-04T04:29:07.495Z,nan,1,0,84.34,97,4513,622743086816758000,24.85,144,240,US,NJ
50,0,-2406396100216511638,2016-02-04T04:29:07.495Z,Duty free - Ships from USA,1,0,120.62,98,1446,1163115142515862290,0.0,24,48,US,CA
53,1,2802818691485963934,2016-02-04T04:30:02.577Z,nan,1,0,103.4,95,10182,7102261811958052132,10.0,96,120,CA,BC
54,0,2802818691485963934,2016-02-04T04:30:02.577Z,"GST/HST Only, No PST.",1,0,103.18,95,4384,-2572277640783537773,21.05,24,48,CA,ON
56,0,2802818691485963934,2016-02-04T04:30:02.577Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,110.48,95,4078,-1789487307643024748,15.53,48,72,CA,ON
57,0,2802818691485963934,2016-02-04T04:30:02.577Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,131.34,96,35264,6791568714796518563,0.0,96,120,CA,QC
58,0,2802818691485963934,2016-02-04T04:30:02.577Z,nan,1,0,115.08,97,4513,622743086816758000,27.37,144,240,US,NJ
59,0,2802818691485963934,2016-02-04T04:30:02.577Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,157.15,96,7090,-373508113925093038,17.95,24,48,CA,ON
61,0,2802818691485963934,2016-02-04T04:30:02.577Z,nan,1,0,221.08,96,1790,1788801474825896666,9.98,96,120,US,NY
62,0,2802818691485963934,2016-02-04T04:30:02.577Z,nan,1,0,221.61,96,1790,1788801474825896666,9.98,96,120,US,NY
63,0,2802818691485963934,2016-02-04T04:30:02.577Z,Duty free - Ships from USA,1,0,233.12,98,1446,1163115142515862290,0.0,24,48,US,CA
68,0,-9131643267408786185,2016-02-04T04:29:11.671Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,101.7,96,35264,6791568714796518563,0.0,96,120,CA,QC
69,0,-9131643267408786185,2016-02-04T04:29:11.671Z,nan,0,0,90.89,98,3293,4143506568603310959,10.99,24,48,US,NY
70,0,-9131643267408786185,2016-02-04T04:29:11.671Z,nan,1,0,93.13,96,1790,1788801474825896666,9.98,96,120,US,NY
75,0,-9131643267408786185,2016-02-04T04:29:11.671Z,nan,1,0,115.08,97,4513,622743086816758000,27.15,144,240,US,NJ
79,0,-5701463121023377686,2016-02-04T04:30:06.510Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,69.77,96,35264,6791568714796518563,0.0,96,120,CA,QC
80,0,-5701463121023377686,2016-02-04T04:30:06.510Z,nan,0,0,59.2,98,3293,4143506568603310959,13.09,24,48,US,NY
81,0,-5701463121023377686,2016-02-04T04:30:06.510Z,nan,1,0,69.39,96,1790,1788801474825896666,9.98,96,120,US,NY
82,0,-5701463121023377686,2016-02-04T04:30:06.510Z,nan,1,0,71.94,96,1790,1788801474825896666,9.98,96,120,US,NY
83,0,-5701463121023377686,2016-02-04T04:30:06.510Z,nan,1,0,61.99,93,2521,-5016003493506265192,26.18,24,48,US,VA
84,0,-5701463121023377686,2016-02-04T04:30:06.510Z,Fast shipping.,1,0,77.19,95,4384,-2572277640783537773,12.12,24,48,CA,ON
91,0,-5701463121023377686,2016-02-04T04:30:06.510Z,nan,0,0,87.72,98,3293,4143506568603310959,13.09,48,72,US,NY
93,0,-5701463121023377686,2016-02-04T04:30:06.510Z,Duty free - Ships from USA,1,0,134.9,98,1446,1163115142515862290,0.0,24,48,US,CA
94,0,-5701463121023377686,2016-02-04T04:30:06.510Z,Our items ship from within Canada. You need not worry about duty.,1,0,120.61,92,51,8994525145737931518,17.12,144,240,CA,ON
98,1,-7405035237453204588,2016-02-04T04:30:05.605Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,14.4,96,35264,6791568714796518563,0.0,96,120,CA,QC
100,0,-7405035237453204588,2016-02-04T04:30:05.605Z,nan,1,0,10.97,95,10182,7102261811958052132,5.05,96,120,CA,BC
101,0,-7405035237453204588,2016-02-04T04:30:05.605Z,nan,0,0,7.87,98,3293,4143506568603310959,8.99,48,72,US,NY
102,0,-7405035237453204588,2016-02-04T04:30:05.605Z,"GST/HST Only, No PST. Part Mummber: USBPLATE",1,0,8.81,95,4384,-2572277640783537773,11.11,24,48,CA,ON
104,0,-7405035237453204588,2016-02-04T04:30:05.605Z,.,1,0,13.19,98,478,5452082314297826053,6.99,24,48,CA,ON
106,0,-7405035237453204588,2016-02-04T04:30:05.605Z,nan,1,0,7.57,97,217,-7970120380487528724,12.95,24,48,CA,QC
109,0,-7405035237453204588,2016-02-04T04:30:05.605Z,*Free shipping from Canada / Livraison GRATUITE depuis Canada*,1,0,23.85,100,4601,5657218934756058127,0.0,24,48,CA,ON
110,0,-7405035237453204588,2016-02-04T04:30:05.605Z,Ownership. Respect. Family. An Employee Owned Company - 100% Canadian.,0,0,14.99,84,161,-3129154375621551414,8.99,24,48,CA,ON
111,0,-7405035237453204588,2016-02-04T04:30:05.605Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,1,0,8.99,94,337,2760162070632027753,14.99,24,48,CA,QC
113,0,-7405035237453204588,2016-02-04T04:30:05.605Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,1,0,13.09,98,105,-4763225123075092614,14.99,24,48,CA,QC
114,0,-7405035237453204588,2016-02-04T04:30:05.605Z,nan,1,0,18.19,96,1790,1788801474825896666,9.98,96,120,US,NY
118,0,4955681902681445111,2016-02-04T04:30:07.525Z,nan,1,0,50.59,95,10182,7102261811958052132,6.58,96,120,CA,BC
119,0,4955681902681445111,2016-02-04T04:30:07.525Z,nan,1,0,50.24,95,2283,8118683026995803963,10.42,144,240,CA,BC
120,0,4955681902681445111,2016-02-04T04:30:07.525Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,62.85,96,35264,6791568714796518563,0.0,96,120,CA,QC
121,0,4955681902681445111,2016-02-04T04:30:07.525Z,.,1,0,59.99,98,478,5452082314297826053,6.99,24,48,CA,ON
122,0,4955681902681445111,2016-02-04T04:30:07.525Z,nan,0,0,51.15,98,3293,4143506568603310959,22.47,48,72,US,NY
125,0,4955681902681445111,2016-02-04T04:30:07.525Z,"GST/HST Only, No PST.",1,0,66.74,95,4384,-2572277640783537773,14.19,24,48,CA,ON
126,0,4955681902681445111,2016-02-04T04:30:07.525Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,1,0,71.55,94,337,2760162070632027753,14.99,24,48,CA,QC
127,0,4955681902681445111,2016-02-04T04:30:07.525Z,nan,1,0,52.91,93,2521,-5016003493506265192,37.65,24,48,US,VA
128,0,4955681902681445111,2016-02-04T04:30:07.525Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,1,0,76.09,98,105,-4763225123075092614,14.99,24,48,CA,QC
131,0,4955681902681445111,2016-02-04T04:30:07.525Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,86.08,96,7090,-373508113925093038,9.95,24,48,CA,ON
132,0,4955681902681445111,2016-02-04T04:30:07.525Z,nan,1,0,91.53,96,1790,1788801474825896666,9.98,96,120,US,NY
138,0,-5924928993300787167,2016-02-04T04:30:08.154Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,49.38,96,35264,6791568714796518563,0.0,96,120,CA,QC
139,0,-5924928993300787167,2016-02-04T04:30:08.154Z,nan,0,0,43.32,98,3293,4143506568603310959,13.09,96,120,US,NY
140,0,-5924928993300787167,2016-02-04T04:30:08.154Z,nan,1,0,53.54,96,1790,1788801474825896666,9.98,96,120,US,NY
141,0,-5924928993300787167,2016-02-04T04:30:08.154Z,nan,1,0,55.45,96,1790,1788801474825896666,9.98,96,120,US,NY
152,0,-5924928993300787167,2016-02-04T04:30:08.154Z,"GST/HST Only, No PST. Part Mummber: 184755",1,0,2999.0,95,4384,-2572277640783537773,12.12,24,48,CA,ON
153,0,6992992079703403252,2016-02-04T04:30:14.727Z,"We are selling brand new items only, Buy from a Canadian seller and avoid custom fees ! No",1,0,7.46,96,35264,6791568714796518563,0.0,96,120,CA,QC
155,0,6992992079703403252,2016-02-04T04:30:14.727Z,nan,1,0,3.94,95,2283,8118683026995803963,8.07,144,240,CA,BC
156,0,6992992079703403252,2016-02-04T04:30:14.727Z,nan,0,0,5.27,98,3293,4143506568603310959,7.99,48,72,US,NY
157,0,6992992079703403252,2016-02-04T04:30:14.727Z,nan,1,0,9.76,95,10182,7102261811958052132,5.03,96,120,CA,BC
159,0,6992992079703403252,2016-02-04T04:30:14.727Z,"GST/HST Only, No PST. Part Number: N201-003-GN",1,0,7.41,95,4384,-2572277640783537773,11.08,24,48,CA,ON
160,0,6992992079703403252,2016-02-04T04:30:14.727Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,19.98,95,4078,-1789487307643024748,0.0,48,72,CA,ON
164,0,6992992079703403252,2016-02-04T04:30:14.727Z,nan,1,0,12.94,96,1790,1788801474825896666,9.98,96,120,US,NY
166,0,6992992079703403252,2016-02-04T04:30:14.727Z,nan,1,0,31.39,96,1790,1788801474825896666,9.98,96,120,US,NY
169,0,6992992079703403252,2016-02-04T04:30:14.727Z,Duty free - Ships from USA,1,0,53.94,98,1446,1163115142515862290,0.0,24,48,US,CA
170,0,6992992079703403252,2016-02-04T04:30:14.727Z,nan,1,0,68.54,50,2,-7084126735194704117,7.08,24,48,US,CA
172,0,-5458460985938131934,2016-02-04T04:30:19.215Z,nan,0,0,108.07,98,3293,4143506568603310959,28.38,48,72,US,NY
173,0,-5458460985938131934,2016-02-04T04:30:19.215Z,nan,0,0,123.59,92,1500,5477944942700666016,12.87,72,96,US,MI
174,1,-5458460985938131934,2016-02-04T04:30:19.215Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,138.76,96,35264,6791568714796518563,0.0,96,120,CA,QC
175,0,-5458460985938131934,2016-02-04T04:30:19.215Z,nan,1,0,101.38,93,2521,-5016003493506265192,44.87,24,48,US,VA
181,0,-5458460985938131934,2016-02-04T04:30:19.215Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,144.76,96,7090,-373508113925093038,12.95,24,48,CA,ON
182,0,-5458460985938131934,2016-02-04T04:30:19.215Z,nan,1,0,133.43,97,4513,622743086816758000,30.98,144,240,US,NJ
186,0,-5458460985938131934,2016-02-04T04:30:19.215Z,Our items ship from within Canada. You need not worry about duty.,0,0,169.99,92,51,8994525145737931518,20.5,144,240,CA,ON
187,0,-5458460985938131934,2016-02-04T04:30:19.215Z,nan,1,0,198.25,96,1790,1788801474825896666,9.98,96,120,US,NY
188,0,-5458460985938131934,2016-02-04T04:30:19.215Z,Duty free - Ships from USA,1,0,208.29,98,1446,1163115142515862290,0.0,24,48,US,CA
189,0,-5458460985938131934,2016-02-04T04:30:19.215Z,nan,1,0,200.3,96,1790,1788801474825896666,9.98,96,120,US,NY
192,0,3147611117024961925,2016-02-04T04:30:23.908Z,Ownership. Respect. Family. An Employee Owned Company - 100% Canadian.,0,0,78.99,84,161,-3129154375621551414,8.99,24,48,CA,ON
193,1,3147611117024961925,2016-02-04T04:30:23.908Z,*Free shipping from Canada / Livraison GRATUITE depuis Canada*,1,0,90.7,100,4601,5657218934756058127,0.0,24,48,CA,ON
195,0,3147611117024961925,2016-02-04T04:30:23.908Z,"GST/HST Only, No PST.",1,0,86.05,95,4384,-2572277640783537773,15.86,24,48,CA,ON
197,0,3147611117024961925,2016-02-04T04:30:23.908Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,102.62,96,35264,6791568714796518563,0.0,96,120,CA,QC
198,0,3147611117024961925,2016-02-04T04:30:23.908Z,nan,0,0,79.79,98,3293,4143506568603310959,30.01,24,48,US,NY
199,0,3147611117024961925,2016-02-04T04:30:23.908Z,nan,0,0,105.97,0,0,3016340757275842199,5.54,504,720,CA,ON
203,0,3147611117024961925,2016-02-04T04:30:23.908Z,nan,1,0,79.84,93,2521,-5016003493506265192,46.87,24,48,US,VA
206,0,3147611117024961925,2016-02-04T04:30:23.908Z,nan,1,0,160.0,96,1790,1788801474825896666,9.98,96,120,US,NY
207,0,3147611117024961925,2016-02-04T04:30:23.908Z,nan,0,0,132.1,0,0,5353140182874674694,40.99,24,48,US,CA
208,0,3147611117024961925,2016-02-04T04:30:23.908Z,Our items ship from within Canada. You need not worry about duty.,0,0,159.9,92,51,8994525145737931518,20.86,144,240,CA,ON
210,0,3147611117024961925,2016-02-04T04:30:23.908Z,nan,0,0,188.25,0,0,-9136117779612307564,5.54,96,120,US,PA
211,0,-7183258764051623574,2016-02-04T04:30:23.567Z,nan,1,0,268.94,94,337,8586667904697145788,0.0,96,120,CA,BC
214,0,-7183258764051623574,2016-02-04T04:30:23.567Z,nan,1,0,319.96,96,1790,1788801474825896666,9.98,96,120,US,NY
215,0,-7183258764051623574,2016-02-04T04:30:23.567Z,nan,1,0,324.86,96,1790,1788801474825896666,9.98,96,120,US,NY
218,0,-7183258764051623574,2016-02-04T04:30:23.567Z,Fast shipping.,1,0,339.19,95,4384,-2572277640783537773,11.26,24,48,CA,ON
222,0,-7183258764051623574,2016-02-04T04:30:23.567Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,375.37,96,35264,6791568714796518563,0.0,96,120,CA,QC
223,0,-7183258764051623574,2016-02-04T04:30:23.567Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,1,0,363.79,98,105,-4763225123075092614,14.99,24,48,CA,QC
224,0,-7183258764051623574,2016-02-04T04:30:23.567Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,1,0,364.56,94,337,2760162070632027753,14.99,24,48,CA,QC
226,0,-7183258764051623574,2016-02-04T04:30:23.567Z,Duty free - Ships from USA,1,0,438.41,98,1446,1163115142515862290,0.0,24,48,US,CA
229,1,-6472191209095062103,2016-02-04T04:30:28.949Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,33.84,96,35264,6791568714796518563,0.0,96,120,CA,QC
230,0,-6472191209095062103,2016-02-04T04:30:28.949Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,35.06,95,4078,-1789487307643024748,0.0,48,72,CA,ON
231,0,-6472191209095062103,2016-02-04T04:30:28.949Z,.,0,0,28.32,98,478,5452082314297826053,6.99,24,48,CA,ON
232,0,-6472191209095062103,2016-02-04T04:30:28.949Z,nan,1,0,29.26,95,2283,8118683026995803963,9.09,144,240,CA,BC
233,0,-6472191209095062103,2016-02-04T04:30:28.949Z,"GST/HST Only, No PST.",1,0,26.05,95,4384,-2572277640783537773,12.43,24,48,CA,ON
234,0,-6472191209095062103,2016-02-04T04:30:28.949Z,nan,0,0,24.94,98,3293,4143506568603310959,14.51,24,48,US,NY
235,0,-6472191209095062103,2016-02-04T04:30:28.949Z,nan,0,0,37.7,93,629,8715827136220149312,4.35,72,96,US,NY
238,0,-6472191209095062103,2016-02-04T04:30:28.949Z,Price includes duty and tax. Most orders shipped same day,0,0,50.59,98,1638,-4014565626861897564,0.0,24,48,US,NY
242,0,-6472191209095062103,2016-02-04T04:30:28.949Z,nan,1,0,44.7,96,1790,1788801474825896666,9.98,96,120,US,NY
243,0,-6472191209095062103,2016-02-04T04:30:28.949Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,0,0,40.51,98,105,-4763225123075092614,14.99,24,48,CA,QC
244,0,-6472191209095062103,2016-02-04T04:30:28.949Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,52.13,96,7090,-373508113925093038,9.95,24,48,CA,ON
245,0,-6472191209095062103,2016-02-04T04:30:28.949Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,0,0,47.2,94,337,2760162070632027753,14.99,24,48,CA,QC
248,0,-6472191209095062103,2016-02-04T04:30:28.949Z,nan,1,0,61.36,97,4513,622743086816758000,28.55,264,360,US,NJ
250,1,-2848053344204944607,2016-02-04T04:30:35.104Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,97.13,95,4078,-1789487307643024748,0.0,48,72,CA,ON
251,0,-2848053344204944607,2016-02-04T04:30:35.104Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,98.77,96,35264,6791568714796518563,0.0,96,120,CA,QC
252,0,-2848053344204944607,2016-02-04T04:30:35.104Z,"GST/HST Only, No PST. Part Mummber: RS-0615-R",1,0,85.86,95,4384,-2572277640783537773,15.55,24,48,CA,ON
253,0,-2848053344204944607,2016-02-04T04:30:35.104Z,nan,0,0,80.22,98,3293,4143506568603310959,28.58,24,48,US,NY
254,0,-2848053344204944607,2016-02-04T04:30:35.104Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,0,0,93.28,94,337,2760162070632027753,16.69,24,48,CA,QC
255,0,-2848053344204944607,2016-02-04T04:30:35.104Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,0,0,99.19,98,105,-4763225123075092614,16.69,24,48,CA,QC
258,0,-2848053344204944607,2016-02-04T04:30:35.104Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,118.17,96,7090,-373508113925093038,12.95,24,48,CA,ON
261,0,-2848053344204944607,2016-02-04T04:30:35.104Z,nan,0,0,162.75,50,2,-7084126735194704117,11.55,24,48,US,CA
262,0,-2848053344204944607,2016-02-04T04:30:35.104Z,nan,1,0,165.45,96,1790,1788801474825896666,9.98,96,120,US,NY
263,0,-2848053344204944607,2016-02-04T04:30:35.104Z,Duty free - Ships from USA,1,0,179.49,98,1446,1163115142515862290,0.0,24,48,US,CA
267,0,7389301687142274734,2016-02-04T04:30:43.622Z,New - Retail,1,0,45.39,95,2283,8118683026995803963,9.53,144,240,CA,BC
268,0,7389301687142274734,2016-02-04T04:30:43.622Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,60.49,96,35270,6791568714796518563,0.0,96,120,CA,QC
269,0,7389301687142274734,2016-02-04T04:30:43.622Z,nan,0,0,43.8,98,3293,4143506568603310959,17.17,48,72,US,NY
270,0,7389301687142274734,2016-02-04T04:30:43.622Z,"GST/HST Only, No PST. Part Number: GUH227",1,0,52.68,95,4384,-2572277640783537773,13.02,24,48,CA,ON
271,0,7389301687142274734,2016-02-04T04:30:43.622Z,nan,1,0,58.6,96,1790,1788801474825896666,9.98,96,120,US,NY
272,0,7389301687142274734,2016-02-04T04:30:43.622Z,Price includes duty and tax. Most orders shipped same day,0,0,69.35,98,1638,-4014565626861897564,0.0,24,48,US,NY
273,0,7389301687142274734,2016-02-04T04:30:43.622Z,nan,1,0,60.18,96,1790,1788801474825896666,9.98,96,120,US,NY
277,0,7389301687142274734,2016-02-04T04:30:43.622Z,nan,1,0,48.06,93,2521,-5016003493506265192,31.17,24,48,US,VA
278,0,7389301687142274734,2016-02-04T04:30:43.622Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,72.83,96,7090,-373508113925093038,9.95,24,48,CA,ON
281,0,7389301687142274734,2016-02-04T04:30:43.622Z,Duty free - Ships from USA,1,0,114.29,98,1446,1163115142515862290,0.0,24,48,US,CA
283,0,7389301687142274734,2016-02-04T04:30:43.622Z,nan,1,0,119.32,50,2,-7084126735194704117,9.02,24,48,US,CA
284,0,7389301687142274734,2016-02-04T04:30:43.622Z,"Dispatched From USA. Best Service, BRAND NEW and in ORIGINAL PACKAGE.",1,0,91.63,96,184,-5514312832713552000,50.11,96,120,US,NY
286,0,-7237428638354676575,2016-02-04T04:30:44.237Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,129.63,95,4078,-1789487307643024748,0.0,48,72,CA,ON
287,0,-7237428638354676575,2016-02-04T04:30:44.237Z,nan,1,0,119.64,95,10182,7102261811958052132,10.09,96,120,CA,BC
289,0,-7237428638354676575,2016-02-04T04:30:44.237Z,Ownership. Respect. Family. An Employee Owned Company - 100% Canadian.,0,0,137.99,84,161,-3129154375621551414,0.0,24,48,CA,ON
290,0,-7237428638354676575,2016-02-04T04:30:44.237Z,*Free shipping from Canada / Livraison GRATUITE depuis Canada*,1,0,146.25,100,4601,5657218934756058127,0.0,24,48,CA,ON
291,0,-7237428638354676575,2016-02-04T04:30:44.237Z,Can not ship order to PO boxes or remote areas. RBC48,0,0,127.4,100,384,4987276067789979672,23.3,24,48,CA,ON
292,0,-7237428638354676575,2016-02-04T04:30:44.237Z,"GST/HST Only, No PST.",1,0,135.45,95,4384,-2572277640783537773,21.24,24,48,CA,ON
293,0,-7237428638354676575,2016-02-04T04:30:44.237Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,0,0,148.73,98,105,-4763225123075092614,14.99,24,48,CA,QC
294,0,-7237428638354676575,2016-02-04T04:30:44.237Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,0,0,149.04,94,337,2760162070632027753,14.99,24,48,CA,QC
295,0,-7237428638354676575,2016-02-04T04:30:44.237Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,164.44,96,35270,6791568714796518563,0.0,96,120,CA,QC
296,0,-7237428638354676575,2016-02-04T04:30:44.237Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,159.37,96,7090,-373508113925093038,17.95,24,48,CA,ON
297,0,-7237428638354676575,2016-02-04T04:30:44.237Z,.,0,0,175.2,98,478,5452082314297826053,6.99,48,72,CA,ON
302,0,-7237428638354676575,2016-02-04T04:30:44.237Z,nan,1,0,249.05,96,1790,1788801474825896666,9.98,96,120,US,NY
303,0,-7237428638354676575,2016-02-04T04:30:44.237Z,nan,1,0,251.95,96,1790,1788801474825896666,9.98,96,120,US,NY
304,0,-7237428638354676575,2016-02-04T04:30:44.237Z,Duty free - Ships from USA,1,0,289.17,98,1446,1163115142515862290,0.0,24,48,US,CA
307,0,4259568297263244930,2016-02-04T04:30:43.129Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,105.41,96,35270,6791568714796518563,0.0,96,120,CA,QC
308,0,4259568297263244930,2016-02-04T04:30:43.129Z,"GST/HST Only, No PST. Part Number: CPS1220RM",1,0,103.17,95,4384,-2572277640783537773,16.54,24,48,CA,ON
310,0,4259568297263244930,2016-02-04T04:30:43.129Z,nan,1,0,83.42,93,2521,-5016003493506265192,50.61,24,48,US,VA
311,0,4259568297263244930,2016-02-04T04:30:43.129Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,123.08,96,7090,-373508113925093038,12.95,24,48,CA,ON
317,0,4259568297263244930,2016-02-04T04:30:43.129Z,nan,1,0,175.77,96,1790,1788801474825896666,9.98,96,120,US,NY
323,1,6218388301361016498,2016-02-04T04:30:42.301Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,60.44,95,4078,-1789487307643024748,0.0,48,72,CA,ON
324,0,6218388301361016498,2016-02-04T04:30:42.301Z,"GST/HST Only, No PST.",1,0,47.25,95,4384,-2572277640783537773,14.69,24,48,CA,ON
325,0,6218388301361016498,2016-02-04T04:30:42.301Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,62.51,96,35270,6791568714796518563,0.0,96,120,CA,QC
326,0,6218388301361016498,2016-02-04T04:30:42.301Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,0,0,49.42,94,337,2760162070632027753,14.99,24,48,CA,QC
327,0,6218388301361016498,2016-02-04T04:30:42.301Z,Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar,0,0,57.4,98,105,-4763225123075092614,14.99,24,48,CA,QC
328,0,6218388301361016498,2016-02-04T04:30:42.301Z,nan,1,0,49.94,93,2521,-5016003493506265192,40.39,24,48,US,VA
330,0,6218388301361016498,2016-02-04T04:30:42.301Z,nan,1,0,97.52,96,1790,1788801474825896666,9.98,96,120,US,NY
